id,createdTime,AuthorRole,CauseCategory,Description,IncidentType,Lat,Long,OccurredAt,Outcome,SecondaryCauseCategory
rec1KDFfDpDTxungg,2024-06-18T14:41:11.000Z,Victim,Infrastructure,Constant risk of collisions with pedestrians. This cycle lane is a defacto footpath as there is no footpath on this side of the street.,Near Miss,51.89823997602454,-8.462981111504263,2024-06-17T17:00,No injuries,Infrastructure
rec19Tk3JCF4RghW2,2025-05-23T11:09:03.000Z,Witness,Infrastructure,Crossing consistently blocked by relatively new 'loading bay' marked in front of it.,Hazard,53.28595086040056,-9.044516955035476,2025-05-23,No injuries,Infrastructure
rec1OHqkdgmZxf1ic,2024-03-04T08:29:57.000Z,Victim,Driver Behaviour (Car),Avoiding illegally parked car(s) or delivery trucks to pub and close pass from drivers approaching from behind,Near Miss,51.89056635846532,-8.463291601784476,2024-03-04,No injuries,Infrastructure
rec1RqbTa50Ymazea,2025-03-24T20:04:19.000Z,Witness,Infrastructure,A car speeding up almost knocks down a mother with a baby in buggy as they were leaving her house on st Mary’s Ave,Near Miss,53.268109691592315,-9.068292166763342,2024-12-04T09:15,No injuries,Infrastructure
rec1UiN0k2Z834rj9,2024-09-27T15:54:09.000Z,Victim,Driver Behaviour (Car),"Car parked on the footpath with the driver in it. Could not go through with buggy and driver wouldn’t move, forcing me on the road",Near Miss,53.26946207958761,-9.06582393557943,2024-09-27T16:35,No injuries,Infrastructure
rec1W0RIhHAgO14XH,2024-03-09T11:21:11.000Z,Other,Infrastructure,A cyclist was hit by a truck and seriously injured at this location ,Collision,53.27709034015638,-9.008660866109807,2023-01-17T18:00,Serious injuries,Driver Behaviour (Other Heavy Vehicle)
rec1a0nSnLgk8u9wF,2024-09-19T14:38:57.000Z,Victim,Driver Behaviour (Car),Taxi over taking another vehicle almost collided with cyclist,Near Miss,53.34700249337945,-6.259093445443966,2024-01-15T21:00,No injuries,Infrastructure
rec1c6UygScTcQggb,2024-02-28T17:59:59.000Z,Other,Driver Behaviour (Car),Cyclist Pat Murphy tragically killed on 3 September 2023 in a road traffic collision on the Cromane to Killorglin Road,Collision,52.10589728839193,-9.8975269003719,2023-09-03T08:45,Fatality,Infrastructure
rec1cXdUFPBISjsVs,2024-03-16T14:06:32.000Z,Victim,Driver Behaviour (Car),Knocked off bike by car.,Collision,51.81337019531912,-8.38849387834648,2023-03-10T16:00,No injuries,Infrastructure
rec1e3G5FCza8HjdD,2024-02-28T17:46:09.000Z,Victim,Infrastructure,Multiple lanes from toll booth merging into one single lane. Plenty of HGVs & large vehicles. Cyclists barely visible coming from booth.,Hazard,53.3447575716194,-6.227120165422548,2024-02-28T14:40,No injuries,Driver Behaviour (Other Heavy Vehicle)
rec1fDrVvsX78w6fY,2024-10-08T20:42:16.000Z,Victim,Driver Behaviour (Car),Car came from Westside in the left lane and on seeing my car which was coming from hospital to Corrib park ,Hazard,53.279352398108614,-9.069780271785447,2024-10-04T15:00,No injuries,Infrastructure
rec1fZUQgs0aY0Jpn,2024-03-08T12:41:01.000Z,Victim,Driver Behaviour (Car),"Car parked in the cycle lane, past 4pm",Hazard,53.31830815300006,-6.291944535683285,2024-03-07T16:31,No injuries,Infrastructure
rec1fsin578HRhA6G,2025-04-29T15:53:30.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),I was hit by a van at this junction. I was cycling straight with right of way in cycle lane and he turned across me from behind to go left. ,Collision,53.35019884653505,-6.272435976828149,2025-04-29,Minor injuries,Infrastructure
rec1nKlsGmIy8xl9C,2024-06-01T11:48:08.000Z,Witness,Driver Behaviour (Car),Cyclist hit car pulling out of school drive ,Collision,53.29528691748601,-6.232086018488189,2021-04-05T08:38,Minor injuries,Infrastructure
rec1nIn3cfauwnjpf,2025-06-11T09:29:58.000Z,Victim,Infrastructure,Regularly blocked cycle lane where three lanes turn into two,Hazard,53.308732853056284,-6.196329142954767,2025-06-10T14:30,No injuries,Infrastructure
rec1rebH3D0OYtwpD,2024-03-02T13:25:41.000Z,Victim,Infrastructure,Car turned left into parking space without indicating,Collision,51.896950308286705,-8.470324428248546,2020-03-02T17:45,No injuries,Infrastructure
rec1omwZcxqO9frY3,2024-10-11T08:45:48.000Z,Witness,Driver Behaviour (Car),"Van sped along bus lane and cut across people cycling to turn left, a left hook",Near Miss,53.27521962081397,-9.076946303744137,2024-10-11T09:27,No injuries,Infrastructure
rec1zd4c4AOiv8DE8,2024-10-22T09:06:31.000Z,Victim,Infrastructure,"I was cycling eastbound on the cycle lane, a van overtook me and immediately veered across my path into the slipway at speed",Near Miss,53.282388960986765,-9.04926080545519,2024-10-22,No injuries,Driver Behaviour (Other Heavy Vehicle)
rec24cM09COp8ThwG,2024-02-28T21:52:50.000Z,Victim,Driver Behaviour (Car),Was cycling along this road when an aggressive driver came behind me bleeping the horn and passed me extremely close.,Near Miss,53.37980794453233,-6.427843084157644,2024-01-24T08:45,No injuries,Infrastructure
rec25oF7wz067MJGy,2024-06-17T00:40:45.000Z,Victim,Driver Behaviour (Car),"Continual over taking on bend, with oncoming traffic, now normal driver behaviour. ",Near Miss,53.47830155323979,-6.196869145940553,2024-06-16T10:03,No injuries,Infrastructure
rec24DDxeG2UKVE1L,2025-10-02T17:47:35.000Z,Victim,Driver Behaviour (Car),"Vehicles constantly running orange & red lights, very dangerous when the pedestrian green light is on - injuries here previously",Near Miss,53.277002727018015,-9.063327039679024,2025-09-25T11:40,No injuries,Infrastructure
rec26qJ6BwsVvRDTy,2024-04-30T21:21:55.000Z,Other,Driver Behaviour (Other Heavy Vehicle),13 year old cyclist travelling west along canal collided with van turning left up Crumlin Rd. ,Collision,53.33201423502982,-6.293365055826854,2024-04-30T15:10,Minor injuries,Infrastructure
rec28NBzQEI8h4dHW,2024-02-29T07:31:29.000Z,Witness,Cyclist Behaviour,Cyclist in shared lane tried to pass on the inside of a car which was turning left in a left only lane.,Collision,53.31926806685689,-6.232023090409683,2024-02-01T09:16,Minor injuries,Infrastructure
rec29zfOe3ELyscVT,2024-09-20T12:18:10.000Z,Victim,Infrastructure,"Concrete ""Speed Bumps"" stagger the tow path. They are not lit and not mountable, if you clip them or hit them you will have an accident",Hazard,53.371045241078804,-6.289744723856074,2018-12-18T12:15,Serious injuries,Infrastructure
rec28n46eVZZCa943,2024-10-18T12:30:15.000Z,Victim,Infrastructure,Large tractor with low loader attempted to cut me off by crossing the cycle lane to turn left. Leaned on horn when I wouldn’t yield.,Near Miss,53.28238661267508,-9.049047011721825,2024-09-17T09:15,No injuries,Infrastructure
rec2D2Oa8nZCFaJfy,2024-10-07T16:38:12.000Z,Victim,Infrastructure,"School traffic. 
Parents parking on double yellow lines.
Breaking red lights.
",Hazard,53.276033633977306,-9.018121052774063,2024-10-07,No injuries,Infrastructure
rec2DPodu0bbbC1FL,2024-10-17T19:25:09.000Z,Other,Unknown,Child on a bike struck by a truck ,Collision,53.26311900125782,-9.103130609282402,2024-10-17T08:20,Minor injuries,Infrastructure
rec2EfLhUqYi5VpLV,2024-03-14T06:42:32.000Z,Victim,Driver Behaviour (Car),Segregated bike lane turned into paint on road. Driver turning left did not look at their mirrors and crashed into me,Collision,53.29921620925336,-6.299914496800227,2024-02-14T06:40,Minor injuries,Infrastructure
rec2Gq5KXtyf7S3R8,2024-04-03T10:30:46.000Z,Victim,Driver Behaviour (Car),"Slowed down for elderly pedestrians crossing. Car overtook impatiently and pulled in hard, scraping the front of the bike. Hit and run.",Collision,53.3017076768038,-6.24529105011996,2024-03-19T11:45,No injuries,Infrastructure
rec2I93qHHUZbEfsg,2024-03-02T14:09:50.000Z,Victim,Driver Behaviour (Car),Car turned onto main road without looking. Narrowly missed cycle. ,Near Miss,53.32458406873653,-6.229307073120481,2024-02-27T20:30,No injuries,Infrastructure
rec29qie3UxYikG6k,2025-05-16T09:35:56.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),Van turned left into dedicated cycle lane without looking/giving right of way to oncoming cyclist. Causing cyclist to go over handlebars.,Collision,53.35558330485219,-6.245412217256245,2025-05-16T09:10,Minor injuries,Infrastructure
rec2JlHp4D2aVKUSX,2024-05-29T16:11:27.000Z,Victim,Infrastructure,"Cars turning left into coffee shop, clearly didn't check the left mirror",Near Miss,52.05398858243575,-9.507002471013834,2024-05-29T08:45,No injuries,Infrastructure
rec2M2HHg7zbMCV7O,2024-03-15T14:57:16.000Z,Victim,Driver Behaviour (Car),Car turned left into school knocking me off my bike,Collision,53.30021125771253,-6.233355819501639,2020-03-15T14:55,No injuries,Infrastructure
rec2OaEfffFgQwAo4,2024-11-03T13:22:48.000Z,Victim,Driver Behaviour (Car),A driver coming on to the roundabout nearly hit me (on my bike).,Near Miss,53.27911051088259,-9.069772869875749,2014-11-03T16:17,No injuries,Infrastructure
rec2NRN2FKRR5rDUj,2024-04-19T19:47:47.000Z,Victim,Infrastructure,Driver broke red light and while I was crossing at a green pedestrian crossing. He stopped feet from me. ,Near Miss,53.3300028024488,-6.298122943398766,2024-04-19,No injuries,Infrastructure
rec2Op5hXolaJHIjv,2024-02-29T12:45:11.000Z,Victim,Driver Behaviour (Car),"Many times, vehicles travelling from Suir Rd to Dolphin Rd turn left without indicating, nearly hitting me,as I go straight to Slievnamon",Near Miss,53.33661106366503,-6.306410207183546,2024-02-29,No injuries,Infrastructure
rec2Ptfq6DjvC3xPc,2024-03-10T14:54:07.000Z,Victim,Driver Behaviour (Car),Car turning right onto Richmond Hill without looking,Near Miss,53.327096019029966,-6.264754745091864,2024-03-10T13:00,No injuries,Infrastructure
rec2VMvtc76PIct5Q,2024-04-04T21:20:12.000Z,Victim,Driver Behaviour (Car),Car overtaking dangerously close to the cyclist,Near Miss,53.496556651542875,-6.193943350137687,2024-04-04T08:00,No injuries,Infrastructure
rec2YKRzcl6pUOPEn,2024-10-07T10:40:21.000Z,Victim,Infrastructure,Only way up on to the bike lane (as path has a high curb) is to go on to the path where pedestrians are trying to cross,Hazard,53.278878313130434,-9.069636828979526,2024-10-07,No injuries,Infrastructure
rec2VNH7PxwujjsBI,2024-02-29T13:46:50.000Z,Victim,Infrastructure,Frequent close passes,Near Miss,53.34211384950973,-6.30936852346278,2022-01-13T13:43,No injuries,Infrastructure
rec2Zc6X7wasTMUY4,2024-12-24T10:22:26.000Z,Witness,Cyclist Behaviour,Cyclist cycling on footpath (opposite side to cycle path) ,Hazard,53.27967147556757,-6.1643332715512145,2024-12-24,No injuries,Infrastructure
rec2b4cLZubuGfA65,2024-05-19T05:16:49.000Z,Victim,Driver Behaviour (Car),A car came and hit me. I had metatrstal bones fracture in the foot. I underwent surgery. Driver mentioned that he did not see me at the intersection ,Collision,53.327870000379164,-6.226923561794308,2024-04-17T00:30,Serious injuries,Infrastructure
rec2gYB7QGvilCdMq,2024-10-16T08:45:10.000Z,Victim,Infrastructure,"Driver used the cycle lane to get around traffic, did not check for cycle lane users and just missed a bike carrying kids, proceeded unaware",Near Miss,53.27107457161341,-9.096470123112027,2024-10-16T08:46,No injuries,Infrastructure
rec2fJIYzPujWnj53,2024-04-03T13:36:39.000Z,Victim,Driver Behaviour (Car),Motor Bikes use the designated cycle lane daily to skip traffic almost colliding with myself and other cyclists on numerous occasions.,Near Miss,53.320756630163146,-6.26798151929259,2024-04-03,No injuries,Driver Behaviour (Car)
rec2hwaC9RBTEbFgG,2024-03-30T07:42:15.000Z,Victim,Driver Behaviour (Car),Souped up VW Golf swerved into bike lane without looking to see if it was clear,Near Miss,53.34822193475108,-6.256477592984538,2024-03-28T08:25,No injuries,Infrastructure
rec2eNzGtNX7zDMds,2024-06-19T11:10:51.000Z,Witness,Driver Behaviour (Car),"Driver suddenly cut across cyclist to stop at the kerb, causing cyclist ahead of me to brake hard to avoid collision",Near Miss,53.35774968537757,-6.251260054201026,2024-06-19T09:23,No injuries,Infrastructure
rec2i0AQagsdyahVA,2024-03-05T11:00:03.000Z,Witness,Driver Behaviour (Car),Driver pulled out without checking contraflow. Cyclist swerved to avoid collision.,Near Miss,51.89508970238012,-8.478306910872107,2024-03-05T08:43,No injuries,Infrastructure
rec2iJDSrGeIGEb4W,2024-06-20T13:02:32.000Z,Victim,Driver Behaviour (Car),"Car opened door on me on the bike, hit my hand and shoulder.  Driver said he was only looking for buses.",Collision,53.36762678589261,-6.227574929255212,2024-06-19T09:30,Minor injuries,Infrastructure
rec2ll2MnWtdpf7lk,2024-02-28T09:53:19.000Z,Victim,Driver Behaviour (Car),"Coming from Fire station, Jeep doesn't see me as they pull out, banged bonnet, wearing full high viz and lights",Near Miss,53.28071594261971,-6.158331600278302,2024-01-28T17:45,No injuries,Infrastructure
rec2lHf56lAxn6g2A,2025-05-14T15:02:41.000Z,Victim,Driver Behaviour (Car),Motorised failed to stop at pedestrian crossing ,Near Miss,53.269712015120035,-9.056521868434857,2025-05-14T12:02,No injuries,Infrastructure
rec2ldNloMqcg06V2,2025-02-28T14:28:24.000Z,Victim,Driver Behaviour (Car),Cars going through red light at pedestrian crossing ,Near Miss,53.30951904904717,-6.28481109015209,2025-02-28,No injuries,Infrastructure
rec2qLOlRmpYhQhVm,2025-07-16T13:55:49.000Z,Victim,Infrastructure,"With the bike path closed, a parked car pulled in tight and a cyclist hit the curb to avoid and fell",Collision,53.363113911636276,-6.220640196384551,2025-07-16T13:04,No injuries,Infrastructure
rec35dGpp3kdTqmmz,2025-03-22T11:11:57.000Z,Witness,Infrastructure,A car swung around the corner from Taylor’s hill and missed my wife by a foot. This is not our first near miss.,Near Miss,53.26886200000001,-9.071721000000025,2025-03-13T08:30,No injuries,Infrastructure
rec2wIMEsiWVaBrIN,2025-03-20T21:05:58.000Z,Witness,Driver Behaviour (Car),"Multiple cars pushing through orange and red lights, esp in the mornings",Near Miss,53.324924812648334,-6.2408279542618175,2025-03-20,No injuries,Infrastructure
rec38A7FFniAKiu6O,2024-03-15T13:58:25.000Z,Victim,Driver Behaviour (Car),Car turning into supermarket. Didn't see bike coming and just avoiding collision due to both car and brike making an emergency stop. ,Near Miss,53.28850408308574,-6.1995846692546195,2024-03-14T19:10,No injuries,Infrastructure
rec2tzwUinIzUDivH,2024-02-29T18:20:37.000Z,Victim,Driver Behaviour (Car),"Taxi driver swung out from left hand junction without looking, forcing me (continuing straight along canal) to brake to avoid collision.",Near Miss,53.32992793850727,-6.263387627266866,2024-01-10T17:00,No injuries,Infrastructure
rec3Bf9dmPbK6sE9N,2024-10-05T08:42:08.000Z,Other,Infrastructure,"Joyce Roundabout remains a highly dangersous roundabout for pedestrians, those in wheelchairs, those on eScooters and bikes",Hazard,53.28231391553754,-9.038458938421286,2024-10-05,No injuries,Infrastructure
rec3C5R8k3t0VXnhU,2024-11-22T20:27:39.000Z,Victim,Driver Behaviour (Car),"I had to stop suddenly after the corner as a car was driving towards me on the wrong side. He shouted, then parked on double yellow lines.",Near Miss,53.27132117292888,-9.056812537944893,2024-11-22T16:25,No injuries,Infrastructure
rec3H6xkXk7SE5GFo,2024-05-05T11:53:43.000Z,Victim,Infrastructure,Wet morning and bike went I to the Luas track. Fell off bike,Hazard,53.35001227688795,-6.258145525928455,2024-04-08T09:24,No injuries,Infrastructure
rec3EcIAzGf61Iq8I,2024-03-03T09:09:24.000Z,Other,Infrastructure,A huge pot hole for cyclists just along the road outside the entrance to Terenure school,Hazard,53.30314230314508,-6.2984143179901935,2024-02-03T09:07,No injuries,Infrastructure
rec3GgCm8PipKaDwr,2024-05-15T20:15:45.000Z,Victim,Infrastructure,"Can't press button for cyclist light without crossing the stop line, very poor design",Hazard,53.348286221934956,-6.255109957896536,2024-05-15,No injuries,Infrastructure
rec3ISFDgHujMRHPf,2025-10-17T18:56:15.000Z,Victim,Driver Behaviour (Car),A van failed to give way when cyclist had a green light going straight and the van had amber left arrow. ,Near Miss,53.3605585176019,-6.238888262134083,2025-10-17T16:54,No injuries,Infrastructure
rec3JtdcVEhT9vMMd,2024-02-29T12:17:09.000Z,Victim,Infrastructure,Cycle lane moves from building side of the street to riverside when crossing the junction heading east. ,Near Miss,53.34582652749225,-6.275801551134009,2024-02-29T09:00,No injuries,Infrastructure
rec3McR7DNsqtj6u5,2024-04-10T09:19:05.000Z,Victim,Driver Behaviour (Car),Struck from rear/side by car and knocked off bike onto the road,Collision,53.32949630772114,-6.231868860036059,2024-04-09T18:00,Minor injuries,Infrastructure
rec3NN4Qmj8bGPobd,2024-03-08T16:25:16.000Z,Victim,Driver Behaviour (Car),Car turning right hit me early in the morning. ,Collision,53.332063645241846,-6.293404668582298,2024-01-24T07:14,Minor injuries,Infrastructure
rec3OAlQPcxwk9KKg,2025-03-21T13:31:03.000Z,Victim,Driver Behaviour (Other Heavy Vehicle),"Van drove up on footpath to allow truck to pass. Super dangerous, kids on footpath!",Near Miss,53.268903634028106,-9.067420400930473,2025-03-07T08:29,No injuries,Other
rec3OkG3AHzzgg2Cg,2024-07-24T13:39:30.000Z,Victim,Infrastructure,Skips regularly placed in protected bicycle lane forcing users coming downhill to switch into traffice.,Hazard,53.341924331799305,-6.270013087465713,2024-07-21T19:00,No injuries,Infrastructure
rec3PLRApd8kLm5ez,2025-05-06T08:12:16.000Z,Victim,Driver Behaviour (Car),"Big SUV coming from the West, turning left at the junction (towards the north), without noticing a bicycle - near miss.",Near Miss,53.260097695518084,-9.122658645497495,2025-05-06T08:15,No injuries,Infrastructure
rec3Q9a7nekoqc2FE,2024-05-28T12:45:33.000Z,Victim,Infrastructure,One of the bollards to protect cyclists is bent crossing over the cycle path. At the end of the bollards is also a large slippy grate,Hazard,53.330271953511016,-6.275378773768807,2024-05-28,No injuries,Infrastructure
rec3QTFB6eg8xrPNe,2025-03-24T21:18:28.000Z,Victim,Infrastructure,Drivers frequently drive through the junction here without stopping to check for traffic coming from left.,Hazard,53.35616899479521,-6.370517585933044,2025-03-24,No injuries,Infrastructure
rec3R5DQsor43USg2,2024-05-16T23:05:35.000Z,Victim,Other,"I was travelling striaght through junction, and car driver turned left into junction before I had cleared the junction, colliding with me",Collision,53.36742999464593,-6.25053224874236,2024-05-15T20:00,Minor injuries,Infrastructure
rec3S0HrhcVeOQtRb,2024-02-29T16:45:47.000Z,Victim,Infrastructure,Drivers consistently enter the cycle lane without looking to undertake right turners onto Leinster Road.,Hazard,53.321615726139555,-6.279389907587358,2024-02-29,No injuries,Driver Behaviour (Car)
rec3SztEGvTfLD0ia,2025-02-25T09:36:17.000Z,Witness,Infrastructure,Cyclist came off bike due to low path to cycleway kerb.,Collision,53.28637637503343,-9.04558917000108,2025-02-25T07:35,Minor injuries,Infrastructure
rec3Y8ne551slwm4G,2024-03-06T10:19:18.000Z,Witness,Unknown,Cyclist on the ground after collision with jeep. roadworks ongoing make this spot very hazardous,Collision,53.360598655293245,-6.238900317379745,2024-02-27T07:18,Minor injuries,Infrastructure
